,Category,Fund Family,Net Assets,YTD Return,Yield,Morningstar Rating,Inception Date,Last Dividend,Last Cap Gain,Holdings Turnover,Average for Category,Expense,Annual Report Expense Ratio (net),Prospectus Net Expense Ratio,Prospectus Gross Expense Ratio,Max 12b1 Fee,Max Front End Sales Load,Max Deferred Sales Load,3 Yr Expense Projection,5 Yr Expense Projection,10 Yr Expense Projection,TRHistoryAvailable
148,Mid-Cap Growth,AMG Funds,819.74M,22.08%,0.00%,★★,"Dec 29, 1985",0.00,0.00,138.00%,N/A,BRWIX,1.10%,1.10%,1.10%,N/A,N/A,N/A,350,606,"1,340",True
149,Mid-Cap Growth,Voya,1.18B,21.58%,0.00%,★★★,"Aug 19, 1998",0.00,0.00,103.00%,N/A,NMCIX,0.98%,0.98%,0.98%,N/A,N/A,N/A,312,542,"1,201",True
150,Mid-Cap Growth,Madison Funds,142.75M,10.61%,0.00%,★★,"Feb 28, 2000",N/A,0.00,31.00%,N/A,MERAX,1.40%,1.40%,1.40%,0.25%,5.75%,N/A,993,"1,297","2,158",False
151,Mid-Cap Growth,Victory,1.3B,21.26%,0.00%,★★,"Jul 13, 2000",0.00,0.00,82.00%,N/A,MGOTX,1.96%,1.96%,1.96%,1.00%,N/A,1.00%,615,"1,057","2,285",True
152,Mid-Cap Growth,William Blair,69.6M,27.62%,0.00%,★★★,"Jan 31, 2006",0.00,0.00,58.00%,N/A,WCGNX,1.20%,1.20%,1.52%,0.25%,N/A,N/A,449,799,"1,785",True
153,Mid-Cap Growth,RBC Global Asset Management.,91.9M,23.16%,0.00%,★★★,"May 31, 1994",0.00,0.00,22.00%,N/A,TMCAX,1.07%,1.07%,1.40%,0.25%,5.75%,N/A,962,"1,267","2,131",True
154,Mid-Cap Growth,Wells Fargo Funds,782.69M,35.21%,0.00%,★★★★,"Aug 29, 2002",0.00,0.00,62.00%,N/A,SEPKX,1.10%,1.10%,1.17%,0.00%,N/A,N/A,365,637,"1,414",True
155,Mid-Cap Growth,Neuberger Berman,1.44B,27.92%,0.00%,★★★,"May 26, 2009",0.00,0.00,50.00%,N/A,NMGCX,1.86%,1.86%,1.86%,1.00%,N/A,1.00%,585,"1,006","2,180",True
156,Mid-Cap Growth,Pioneer Investments,2.07B,24.85%,0.00%,★★★,"Jun 29, 1993",0.00,0.00,82.00%,N/A,PGRRX,1.44%,1.44%,1.44%,0.50%,N/A,N/A,456,787,"1,724",True
157,Mid-Cap Growth,Federated,587.76M,26.21%,0.00%,★★★,"Jan 28, 2010",0.00,0.00,171.00%,N/A,FGSIX,0.85%,0.85%,1.02%,N/A,N/A,N/A,325,563,"1,248",True
